b_malayi_PRJNA10729	b_malayi_PRJNA10729_curated_genes,b_malayi_PRJNA10729_protein_motifs
c_angaria_PRJNA51225	c_angaria_PRJNA51225_curated_genes
c_becei_PRJEB28243	c_becei_PRJEB28243_curated_genes
c_bovis_PRJEB34497	c_bovis_PRJEB34497_curated_genes
c_brenneri_PRJNA20035	c_brenneri_PRJNA20035_protein_motifs,c_brenneri_PRJNA20035_curated_genes,c_brenneri_PRJNA20035_genblastg_cds_predictions
c_briggsae_PRJNA10731	c_briggsae_PRJNA10731_genblastg_cds_predictions,c_briggsae_PRJNA10731_curated_genes,c_briggsae_PRJNA10731_protein_motifs,c_briggsae_PRJNA10731_classical_alleles
c_elegans_PRJEB28388	c_elegans_PRJEB28388_curated_genes
c_elegans_PRJNA13758	c_elegans_PRJNA13758_protein_motifs,c_elegans_PRJNA13758_curated_genes,c_elegans_PRJNA13758_classical_alleles
c_elegans_PRJNA275000	c_elegans_PRJNA275000_genblastg_cds_predictions
c_inopinata_PRJDB5687	c_inopinata_PRJDB5687_curated_genes
c_japonica_PRJNA12591	c_japonica_PRJNA12591_curated_genes,c_japonica_PRJNA12591_protein_motifs,c_japonica_PRJNA12591_genblastg_cds_predictions
c_latens_PRJNA248912	c_latens_PRJNA248912_curated_genes
c_nigoni_PRJNA384657	c_nigoni_PRJNA384657_curated_genes
c_panamensis_PRJEB28259	c_panamensis_PRJEB28259_curated_genes
c_parvicauda_PRJEB12595	c_parvicauda_PRJEB12595_curated_genes
c_quiockensis_PRJEB11354	c_quiockensis_PRJEB11354_curated_genes
c_remanei_PRJNA53967	c_remanei_PRJNA53967_curated_genes,c_remanei_PRJNA53967_genblastg_cds_predictions,c_remanei_PRJNA53967_protein_motifs
c_remanei_PRJNA577507	c_remanei_PRJNA577507_curated_genes
c_sinica_PRJNA194557	c_sinica_PRJNA194557_curated_genes
c_sulstoni_PRJEB12601	c_sulstoni_PRJEB12601_curated_genes
c_tribulationis_PRJEB12608	c_tribulationis_PRJEB12608_curated_genes
c_tropicalis_PRJNA53597	c_tropicalis_PRJNA53597_curated_genes
c_uteleia_PRJEB12600	c_uteleia_PRJEB12600_curated_genes
c_waitukubuli_PRJEB12602	c_waitukubuli_PRJEB12602_curated_genes
c_zanzibari_PRJEB12596	c_zanzibari_PRJEB12596_curated_genes
o_tipulae_PRJEB15512	o_tipulae_PRJEB15512_curated_genes
o_volvulus_PRJEB513	o_volvulus_PRJEB513_protein_motifs,o_volvulus_PRJEB513_curated_genes
p_pacificus_PRJNA12644	p_pacificus_PRJNA12644_protein_motifs,p_pacificus_PRJNA12644_curated_genes
p_redivivus_PRJNA186477	p_redivivus_PRJNA186477_curated_genes
s_ratti_PRJEB125	s_ratti_PRJEB125_protein_motifs,s_ratti_PRJEB125_curated_genes
t_muris_PRJEB126	t_muris_PRJEB126_curated_genes,t_muris_PRJEB126_protein_motifs
